Timestamp,Avg_CPU_95,Avg_Proc_Count,Avg_Disk_Avg,Num_Servers,Total_Processes,Hour,Date,Day_of_Week
2023-09-17 10:00:00,0.5336309523809524,25.809523809523807,19.462797619047617,5.428571428571429,176.28571428571428,9,17,sun
2023-09-17 10:30:00,0.372096669209255,44.487851004322394,20.699305771675565,17.0,822.5899999999999,10,17,sun
2023-09-17 11:00:00,0.5631132254703682,56.188631182202606,18.503342035913466,31.428571428571427,1770.4142857142856,10,17,sun
2023-09-17 11:30:00,0.8474056203229589,65.1412471262341,18.626978933490953,48.2,3157.93,11,17,sun
2023-09-17 12:00:00,1.0038477184921566,70.1917048469904,19.39347845714898,53.714285714285715,3784.464285714286,11,17,sun
2023-09-17 12:30:00,0.8699558825431912,71.62378188199759,20.860283149262166,60.8,4347.95,12,17,sun
2023-09-17 13:00:00,0.5205709772193463,70.58173507807712,20.509645244110846,64.28571428571429,4530.064285714286,12,17,sun
2023-09-17 13:30:00,0.8436806466420854,66.37338162946699,20.850129871022745,65.8,4388.7300000000005,13,17,sun
2023-09-17 14:00:00,0.6816314179178191,69.7550628221909,21.322056848153434,66.0,4595.278571428572,13,17,sun
2023-09-17 14:30:00,0.4417072115384616,68.48514903846153,20.646366346153847,64.8,4435.96,14,17,sun
2023-09-17 15:00:00,0.46803164403591346,72.73983001650073,21.011196325713346,64.71428571428571,4702.892857142857,14,17,sun
2023-09-17 15:30:00,0.4600643340076175,75.17232850400015,20.386447509704226,66.4,4983.139999999999,15,17,sun
2023-09-17 16:00:00,0.7288364335401211,73.6837026682085,20.9230967399589,67.71428571428571,4988.2,15,17,sun
2023-09-17 16:30:00,0.6457754332623898,73.41034792743487,21.014459329076722,67.0,4918.74,16,17,sun
2023-09-17 17:00:00,0.6853379480752244,71.82881472377487,21.43152845665585,67.14285714285714,4835.614285714286,16,17,sun
2023-09-17 17:30:00,0.7636018662700843,67.9778919604584,21.511525588312487,69.8,4747.339999999999,17,17,sun
2023-09-17 18:00:00,0.6558970843695715,72.63759426121949,21.580182811152632,70.14285714285714,5096.371428571429,17,17,sun
2023-09-17 18:30:00,0.7812394366197184,73.65704225352113,21.841267605633803,71.0,5229.65,18,17,sun
2023-09-17 19:00:00,0.5344254096004598,72.82552457602759,21.679477436044838,70.85714285714286,5160.921428571428,18,17,sun
2023-09-17 19:30:00,0.661830985915493,73.65352112676057,21.84267605633803,71.0,5229.4,19,17,sun
2023-09-17 20:00:00,0.6801207243460764,73.46619718309857,21.825251509054322,71.0,5216.099999999999,19,17,sun
2023-09-17 20:30:00,0.630394366197183,73.59338028169013,21.823943661971832,71.0,5225.129999999999,20,17,sun
2023-09-17 21:00:00,0.6890543259557346,73.5867203219316,21.82591549295775,71.0,5224.657142857142,20,17,sun
2023-09-17 21:30:00,0.6811830985915494,73.46253521126759,21.826732394366196,71.0,5215.839999999999,21,17,sun
2023-09-17 22:00:00,0.6309054325955733,73.47313883299798,21.828591549295773,71.0,5216.592857142857,21,17,sun
2023-09-17 22:30:00,0.6895211267605634,73.52225352112676,21.836000000000006,71.0,5220.08,22,17,sun
2023-09-17 23:00:00,0.6139034205231388,73.64969818913481,21.840523138833003,71.0,5229.1285714285705,22,17,sun
2023-09-17 23:30:00,0.890450704225352,73.7338028169014,21.844507042253532,71.0,5235.1,23,17,sun
2023-09-18 00:00:00,0.7278269617706238,73.67857142857143,21.841046277666003,71.0,5231.178571428572,23,17,sun
2023-09-18 00:30:00,0.6533521126760564,73.64422535211267,21.84264788732395,71.0,5228.74,0,18,mon
2023-09-18 01:00:00,0.8092354124748491,73.69728370221328,21.84887323943662,71.0,5232.507142857142,0,18,mon
2023-09-18 01:30:00,0.7761126760563379,73.76760563380282,21.852647887323947,71.0,5237.5,1,18,mon
2023-09-18 02:00:00,0.8701371083644727,72.99006754814602,21.882393791319345,70.42857142857143,5140.842857142858,1,18,mon
2023-09-18 02:30:00,0.8664857142857143,72.52042857142857,21.906,70.0,5076.429999999999,2,18,mon
2023-09-18 03:00:00,0.7400204081632653,72.5115306122449,21.910102040816327,70.0,5075.807142857143,2,18,mon
2023-09-18 03:30:00,0.8534857142857144,72.296,21.910342857142858,70.0,5060.719999999999,3,18,mon
2023-09-18 04:00:00,1.0381632653061224,72.66367346938775,21.917632653061226,70.0,5086.457142857143,3,18,mon
2023-09-18 04:30:00,0.7951428571428572,72.46257142857141,21.929142857142857,70.0,5072.379999999999,4,18,mon
2023-09-18 05:00:00,0.6641224489795918,72.55336734693878,21.93122448979592,70.0,5078.7357142857145,4,18,mon
2023-09-18 05:30:00,0.3305714285714285,72.45357142857142,21.927,70.0,5071.75,5,18,mon
2023-09-18 06:00:00,0.38963265306122447,72.28836734693877,21.92781632653061,70.0,5060.185714285714,5,18,mon
2023-09-18 06:30:00,0.41385714285714287,72.40628571428572,21.922800000000006,70.0,5068.44,6,18,mon
2023-09-18 07:00:00,0.38828571428571423,72.46540816326531,21.936795918367352,70.0,5072.578571428571,6,18,mon
2023-09-18 07:30:00,0.4012285714285714,72.708,21.942142857142862,70.0,5089.5599999999995,7,18,mon
2023-09-18 08:00:00,0.8242244897959183,72.28877551020408,21.963836734693878,70.0,5060.214285714285,7,18,mon
2023-09-18 08:30:00,1.2802857142857145,72.3967142857143,21.983428571428572,70.0,5067.77,8,18,mon
2023-09-18 09:00:00,0.8461014739229026,72.186981292517,21.802722222222222,71.14285714285714,5135.821428571428,8,18,mon
2023-09-18 09:30:00,0.6216388888888889,72.05569444444444,21.661388888888887,72.0,5188.01,9,18,mon
