host,_time,CPU_95th_Perc
60akv51096.example.com,00:00:00,0.412109650826833
zlc9q3dcp7.example.com,00:00:00,1.0224509277025458
b2g1e47781.example.com,00:00:00,0.41871033485818504
68wa53c1nt.example.com,00:00:00,0.12221763272424921
pb19q598sp.example.com,00:00:00,1.5260563034950492
d84433utw1.example.com,00:00:00,0.412109650826833
kp27n9w921.example.com,00:00:00,0.43178241642553783
153lt8728s.example.com,00:00:00,3.9895394478559743
5j4leg39i6.example.com,00:00:00,0.5596157879354227
uzn0t6y9fi.example.com,00:00:00,0.48858001481867097
0ot491ub6o.example.com,00:00:00,0.8109302162163288
o9q2fe230w.example.com,00:00:00,0.41871033485818504
6627ch84u1.example.com,00:00:00,0.4054651081081644
491170l4j9.example.com,00:00:00,0.1988508587451652
60akv51096.example.com,00:05:00,0.708035793053696
zlc9q3dcp7.example.com,00:05:00,1.3962446919730587
b2g1e47781.example.com,00:05:00,1.252762968495368
pb19q598sp.example.com,00:05:00,1.425515074273172
d84433utw1.example.com,00:05:00,0.5596157879354227
kp27n9w921.example.com,00:05:00,0.22314355131420976
153lt8728s.example.com,00:05:00,4.136126096237056
5j4leg39i6.example.com,00:05:00,0.8109302162163288
uzn0t6y9fi.example.com,00:05:00,0.44468582126144574
0ot491ub6o.example.com,00:05:00,0.33647223662121295
o9q2fe230w.example.com,00:05:00,0.4054651081081644
6627ch84u1.example.com,00:05:00,0.3220834991691133
491170l4j9.example.com,00:05:00,0.5596157879354227
60akv51096.example.com,00:10:00,0.09531017980432487
zlc9q3dcp7.example.com,00:10:00,1.184789984909162
b2g1e47781.example.com,00:10:00,0.412109650826833
d84433utw1.example.com,00:10:00,0.48858001481867097
153lt8728s.example.com,00:10:00,3.5596246182566738
5j4leg39i6.example.com,00:10:00,0.4054651081081644
uzn0t6y9fi.example.com,00:10:00,0.4637340162321401
0ot491ub6o.example.com,00:10:00,0.22314355131420976
o9q2fe230w.example.com,00:10:00,0.412109650826833
6627ch84u1.example.com,00:10:00,0.5306282510621704
491170l4j9.example.com,00:10:00,0.6043159668533294
60akv51096.example.com,00:15:00,0.6931471805599453
zlc9q3dcp7.example.com,00:15:00,1.1085626195212777
b2g1e47781.example.com,00:15:00,0.8878912573524571
68wa53c1nt.example.com,00:15:00,0.12221763272424921
pb19q598sp.example.com,00:15:00,0.0295588022415444
d84433utw1.example.com,00:15:00,0.7561219797213337
kp27n9w921.example.com,00:15:00,0.009950330853168083
153lt8728s.example.com,00:15:00,3.3721118007670587
5j4leg39i6.example.com,00:15:00,0.5596157879354227
uzn0t6y9fi.example.com,00:15:00,0.3987761199573678
0ot491ub6o.example.com,00:15:00,0.598836501088704
o9q2fe230w.example.com,00:15:00,0.5068176023684519
6627ch84u1.example.com,00:15:00,0.48858001481867097
491170l4j9.example.com,00:15:00,0.4054651081081644
60akv51096.example.com,00:20:00,0.0295588022415444
zlc9q3dcp7.example.com,00:20:00,1.1817271953786161
b2g1e47781.example.com,00:20:00,2.519308076505333
pb19q598sp.example.com,00:20:00,0.08617769624105233
d84433utw1.example.com,00:20:00,0.33647223662121295
kp27n9w921.example.com,00:20:00,0.22314355131420976
153lt8728s.example.com,00:20:00,3.405189402931693
5j4leg39i6.example.com,00:20:00,0.6931471805599453
uzn0t6y9fi.example.com,00:20:00,0.44468582126144574
0ot491ub6o.example.com,00:20:00,0.5247285289349821
o9q2fe230w.example.com,00:20:00,0.6931471805599453
6627ch84u1.example.com,00:20:00,0.5933268452777344
491170l4j9.example.com,00:20:00,0.3220834991691133
60akv51096.example.com,00:25:00,0.6931471805599453
zlc9q3dcp7.example.com,00:25:00,1.0296194171811581
b2g1e47781.example.com,00:25:00,0.5822156198526637
4p9xf6q09j.example.com,00:25:00,0.05826890812397577
68wa53c1nt.example.com,00:25:00,0.6312717768418579
pb19q598sp.example.com,00:25:00,0.08617769624105233
d84433utw1.example.com,00:25:00,0.22314355131420976
kp27n9w921.example.com,00:25:00,0.22314355131420976
153lt8728s.example.com,00:25:00,3.341801171705499
5j4leg39i6.example.com,00:25:00,0.6931471805599453
uzn0t6y9fi.example.com,00:25:00,0.4510756193602166
0ot491ub6o.example.com,00:25:00,0.5306282510621704
o9q2fe230w.example.com,00:25:00,0.5709795465857378
6627ch84u1.example.com,00:25:00,0.3293037471426004
491170l4j9.example.com,00:25:00,0.6312717768418579
60akv51096.example.com,00:30:00,0.9122827104766162
zlc9q3dcp7.example.com,00:30:00,1.0296194171811581
b2g1e47781.example.com,00:30:00,0.412109650826833
68wa53c1nt.example.com,00:30:00,0.13102826240640408
pb19q598sp.example.com,00:30:00,0.1484200051182733
d84433utw1.example.com,00:30:00,0.6043159668533294
kp27n9w921.example.com,00:30:00,0.009950330853168083
153lt8728s.example.com,00:30:00,3.389799336709786
5j4leg39i6.example.com,00:30:00,0.5766133643039938
uzn0t6y9fi.example.com,00:30:00,0.2776317365982795
0ot491ub6o.example.com,00:30:00,0.6626879730752367
o9q2fe230w.example.com,00:30:00,0.37156355643248307
6627ch84u1.example.com,00:30:00,0.3920420877760237
491170l4j9.example.com,00:30:00,0.7178397931503169
60akv51096.example.com,00:35:00,0.15700374880966478
zlc9q3dcp7.example.com,00:35:00,1.1052568313867783
b2g1e47781.example.com,00:35:00,0.5596157879354227
4p9xf6q09j.example.com,00:35:00,0.039220713153281295
68wa53c1nt.example.com,00:35:00,0.31481073984003355
pb19q598sp.example.com,00:35:00,0.17395330712343804
d84433utw1.example.com,00:35:00,0.3220834991691133
kp27n9w921.example.com,00:35:00,1.0116009116784799
153lt8728s.example.com,00:35:00,3.749033376933683
5j4leg39i6.example.com,00:35:00,0.4054651081081644
uzn0t6y9fi.example.com,00:35:00,0.4824261492442927
0ot491ub6o.example.com,00:35:00,0.3293037471426004
o9q2fe230w.example.com,00:35:00,0.48858001481867097
6627ch84u1.example.com,00:35:00,0.44468582126144574
491170l4j9.example.com,00:35:00,0.5247285289349821
